"state_id","state","year","resources_categories_id","resources_categories","total"
1,"Aguascalientes",2005,15,"Camas fuera del área de hospitalización (No censables)",328
1,"Aguascalientes",2005,16,"Camas recién nacidos",66
1,"Aguascalientes",2005,17,"Equipamiento",72
1,"Aguascalientes",2005,18,"Médicos generales, especialistas y odontólogos",795
1,"Aguascalientes",2005,19,"Personal médico en adiestramiento",274
1,"Aguascalientes",2005,20,"Médicos en otras actividades",86
1,"Aguascalientes",2005,21,"Personal de enfermería en contacto c/paciente",1611
1,"Aguascalientes",2005,22,"Personal de enfermería en otras labores",68
1,"Aguascalientes",2005,23,"Otro personal profesional",147
1,"Aguascalientes",2005,24,"Personal técnico",365
1,"Aguascalientes",2005,25,"Otro personal",1045
1,"Aguascalientes",2006,13,"Consultorios",335
1,"Aguascalientes",2006,14,"Camas en área de hospitalización (Censables)",426
1,"Aguascalientes",2006,15,"Camas fuera del área de hospitalización (No censables)",221
1,"Aguascalientes",2006,16,"Camas recién nacidos",56
1,"Aguascalientes",2006,17,"Equipamiento",70
1,"Aguascalientes",2006,18,"Médicos generales, especialistas y odontólogos",776
1,"Aguascalientes",2006,19,"Personal médico en adiestramiento",260
1,"Aguascalientes",2006,20,"Médicos en otras actividades",81
1,"Aguascalientes",2006,21,"Personal de enfermería en contacto c/paciente",1614
1,"Aguascalientes",2006,22,"Personal de enfermería en otras labores",62
1,"Aguascalientes",2006,23,"Otro personal profesional",126
1,"Aguascalientes",2006,24,"Personal técnico",333
1,"Aguascalientes",2006,25,"Otro personal",1046
1,"Aguascalientes",2007,13,"Consultorios",355
1,"Aguascalientes",2007,14,"Camas en área de hospitalización (Censables)",466
1,"Aguascalientes",2007,15,"Camas fuera del área de hospitalización (No censables)",285
1,"Aguascalientes",2007,16,"Camas recién nacidos",99
1,"Aguascalientes",2007,17,"Equipamiento",74
1,"Aguascalientes",2007,18,"Médicos generales, especialistas y odontólogos",847
1,"Aguascalientes",2007,19,"Personal médico en adiestramiento",256
1,"Aguascalientes",2007,20,"Médicos en otras actividades",74
1,"Aguascalientes",2007,21,"Personal de enfermería en contacto c/paciente",1671
1,"Aguascalientes",2007,22,"Personal de enfermería en otras labores",55
1,"Aguascalientes",2007,23,"Otro personal profesional",154
1,"Aguascalientes",2007,24,"Personal técnico",404
1,"Aguascalientes",2007,25,"Otro personal",1047
1,"Aguascalientes",2008,13,"Consultorios",374
1,"Aguascalientes",2008,14,"Camas en área de hospitalización (Censables)",465
1,"Aguascalientes",2008,15,"Camas fuera del área de hospitalización (No censables)",294
1,"Aguascalientes",2008,16,"Camas recién nacidos",79
1,"Aguascalientes",2008,17,"Equipamiento",82
1,"Aguascalientes",2008,18,"Médicos generales, especialistas y odontólogos",886
1,"Aguascalientes",2008,19,"Personal médico en adiestramiento",270
1,"Aguascalientes",2008,20,"Médicos en otras actividades",71
1,"Aguascalientes",2008,21,"Personal de enfermería en contacto c/paciente",1733
1,"Aguascalientes",2008,22,"Personal de enfermería en otras labores",67
1,"Aguascalientes",2008,23,"Otro personal profesional",170
1,"Aguascalientes",2008,24,"Personal técnico",432
1,"Aguascalientes",2008,25,"Otro personal",1099
1,"Aguascalientes",2009,13,"Consultorios",382
1,"Aguascalientes",2009,14,"Camas en área de hospitalización (Censables)",465
1,"Aguascalientes",2009,15,"Camas fuera del área de hospitalización (No censables)",301
1,"Aguascalientes",2009,16,"Camas recién nacidos",85
1,"Aguascalientes",2009,17,"Equipamiento",96
1,"Aguascalientes",2009,18,"Médicos generales, especialistas y odontólogos",899
1,"Aguascalientes",2009,19,"Personal médico en adiestramiento",259
1,"Aguascalientes",2009,20,"Médicos en otras actividades",77
1,"Aguascalientes",2009,21,"Personal de enfermería en contacto c/paciente",1837
1,"Aguascalientes",2009,22,"Personal de enfermería en otras labores",63
1,"Aguascalientes",2009,23,"Otro personal profesional",209
1,"Aguascalientes",2009,24,"Personal técnico",446
1,"Aguascalientes",2009,25,"Otro personal",1138
1,"Aguascalientes",2010,13,"Consultorios",396
1,"Aguascalientes",2010,14,"Camas en área de hospitalización (Censables)",465
1,"Aguascalientes",2010,15,"Camas fuera del área de hospitalización (No censables)",251
1,"Aguascalientes",2010,16,"Camas recién nacidos",85
1,"Aguascalientes",2010,17,"Equipamiento",100
1,"Aguascalientes",2010,18,"Médicos generales, especialistas y odontólogos",929
1,"Aguascalientes",2010,19,"Personal médico en adiestramiento",290
1,"Aguascalientes",2010,20,"Médicos en otras actividades",78
1,"Aguascalientes",2010,21,"Personal de enfermería en contacto c/paciente",1936
1,"Aguascalientes",2010,22,"Personal de enfermería en otras labores",70
1,"Aguascalientes",2010,23,"Otro personal profesional",256
1,"Aguascalientes",2010,24,"Personal técnico",460
1,"Aguascalientes",2010,25,"Otro personal",1182
1,"Aguascalientes",2011,13,"Consultorios",400
1,"Aguascalientes",2011,14,"Camas en área de hospitalización (Censables)",465
1,"Aguascalientes",2011,15,"Camas fuera del área de hospitalización (No censables)",242
1,"Aguascalientes",2011,16,"Camas recién nacidos",91
1,"Aguascalientes",2011,17,"Equipamiento",108
1,"Aguascalientes",2011,18,"Médicos generales, especialistas y odontólogos",926
1,"Aguascalientes",2011,19,"Personal médico en adiestramiento",280
1,"Aguascalientes",2011,20,"Médicos en otras actividades",90
1,"Aguascalientes",2011,21,"Personal de enfermería en contacto c/paciente",1863
1,"Aguascalientes",2011,22,"Personal de enfermería en otras labores",73
1,"Aguascalientes",2011,23,"Otro personal profesional",278
1,"Aguascalientes",2011,24,"Personal técnico",476
1,"Aguascalientes",2011,25,"Otro personal",1203
1,"Aguascalientes",2012,13,"Consultorios",424
1,"Aguascalientes",2012,14,"Camas en área de hospitalización (Censables)",468
1,"Aguascalientes",2012,15,"Camas fuera del área de hospitalización (No censables)",225
1,"Aguascalientes",2012,16,"Camas recién nacidos",99
1,"Aguascalientes",2012,17,"Equipamiento",101
1,"Aguascalientes",2012,18,"Médicos generales, especialistas y odontólogos",930
1,"Aguascalientes",2012,19,"Personal médico en adiestramiento",300
1,"Aguascalientes",2012,20,"Médicos en otras actividades",90
1,"Aguascalientes",2012,21,"Personal de enfermería en contacto c/paciente",2039
1,"Aguascalientes",2012,22,"Personal de enfermería en otras labores",74
1,"Aguascalientes",2012,23,"Otro personal profesional",323
1,"Aguascalientes",2012,24,"Personal técnico",470
1,"Aguascalientes",2012,25,"Otro personal",1187
1,"Aguascalientes",2013,13,"Consultorios",438
1,"Aguascalientes",2013,14,"Camas en área de hospitalización (Censables)",445
1,"Aguascalientes",2013,15,"Camas fuera del área de hospitalización (No censables)",233
1,"Aguascalientes",2013,16,"Camas recién nacidos",131
1,"Aguascalientes",2013,17,"Equipamiento",118
1,"Aguascalientes",2013,18,"Médicos generales, especialistas y odontólogos",955
1,"Aguascalientes",2013,19,"Personal médico en adiestramiento",320
1,"Aguascalientes",2013,20,"Médicos en otras actividades",96
1,"Aguascalientes",2013,21,"Personal de enfermería en contacto c/paciente",2086
1,"Aguascalientes",2013,22,"Personal de enfermería en otras labores",75
1,"Aguascalientes",2013,23,"Otro personal profesional",337
1,"Aguascalientes",2013,24,"Personal técnico",459
1,"Aguascalientes",2013,25,"Otro personal",1203
1,"Aguascalientes",2014,13,"Consultorios",436
1,"Aguascalientes",2014,14,"Camas en área de hospitalización (Censables)",444
1,"Aguascalientes",2014,15,"Camas fuera del área de hospitalización (No censables)",215
1,"Aguascalientes",2014,16,"Camas recién nacidos",131
1,"Aguascalientes",2014,17,"Equipamiento",119
1,"Aguascalientes",2014,18,"Médicos generales, especialistas y odontólogos",970
1,"Aguascalientes",2014,19,"Personal médico en adiestramiento",323
1,"Aguascalientes",2014,20,"Médicos en otras actividades",94
1,"Aguascalientes",2014,21,"Personal de enfermería en contacto c/paciente",2070
1,"Aguascalientes",2014,22,"Personal de enfermería en otras labores",78
1,"Aguascalientes",2014,23,"Otro personal profesional",315
1,"Aguascalientes",2014,24,"Personal técnico",443
1,"Aguascalientes",2014,25,"Otro personal",1239
1,"Aguascalientes",2015,13,"Consultorios",433
1,"Aguascalientes",2015,14,"Camas en área de hospitalización (Censables)",445
1,"Aguascalientes",2015,15,"Camas fuera del área de hospitalización (No censables)",233
1,"Aguascalientes",2015,16,"Camas recién nacidos",91
1,"Aguascalientes",2015,17,"Equipamiento",126
1,"Aguascalientes",2015,18,"Médicos generales, especialistas y odontólogos",996
1,"Aguascalientes",2015,19,"Personal médico en adiestramiento",318
1,"Aguascalientes",2015,20,"Médicos en otras actividades",94
1,"Aguascalientes",2015,21,"Personal de enfermería en contacto c/paciente",2228
1,"Aguascalientes",2015,22,"Personal de enfermería en otras labores",63
1,"Aguascalientes",2015,23,"Otro personal profesional",347
1,"Aguascalientes",2015,24,"Personal técnico",456
1,"Aguascalientes",2015,25,"Otro personal",1309
1,"Aguascalientes",2016,13,"Consultorios",440
1,"Aguascalientes",2016,14,"Camas en área de hospitalización (Censables)",457
1,"Aguascalientes",2016,15,"Camas fuera del área de hospitalización (No censables)",235
1,"Aguascalientes",2016,16,"Camas recién nacidos",93
1,"Aguascalientes",2016,17,"Equipamiento",124
1,"Aguascalientes",2016,18,"Médicos generales, especialistas y odontólogos",985
1,"Aguascalientes",2016,19,"Personal médico en adiestramiento",305
1,"Aguascalientes",2016,20,"Médicos en otras actividades",93
1,"Aguascalientes",2016,21,"Personal de enfermería en contacto c/paciente",2162
1,"Aguascalientes",2016,22,"Personal de enfermería en otras labores",67
1,"Aguascalientes",2016,23,"Otro personal profesional",334
1,"Aguascalientes",2016,24,"Personal técnico",451
1,"Aguascalientes",2016,25,"Otro personal",1331
1,"Aguascalientes",2017,13,"Consultorios",459
1,"Aguascalientes",2017,14,"Camas en área de hospitalización (Censables)",445
1,"Aguascalientes",2017,15,"Camas fuera del área de hospitalización (No censables)",236
1,"Aguascalientes",2017,16,"Camas recién nacidos",77
1,"Aguascalientes",2017,17,"Equipamiento",126
1,"Aguascalientes",2017,18,"Médicos generales, especialistas y odontólogos",993
1,"Aguascalientes",2017,19,"Personal médico en adiestramiento",328
1,"Aguascalientes",2017,20,"Médicos en otras actividades",90
1,"Aguascalientes",2017,21,"Personal de enfermería en contacto c/paciente",2149
1,"Aguascalientes",2017,22,"Personal de enfermería en otras labores",67
1,"Aguascalientes",2017,23,"Otro personal profesional",325
1,"Aguascalientes",2017,24,"Personal técnico",408
1,"Aguascalientes",2017,25,"Otro personal",1370
1,"Aguascalientes",2018,13,"Consultorios",482
1,"Aguascalientes",2018,14,"Camas en área de hospitalización (Censables)",392
1,"Aguascalientes",2018,15,"Camas fuera del área de hospitalización (No censables)",243
1,"Aguascalientes",2018,16,"Camas recién nacidos",82
1,"Aguascalientes",2018,17,"Equipamiento",140
1,"Aguascalientes",2018,18,"Médicos generales, especialistas y odontólogos",963
1,"Aguascalientes",2018,19,"Personal médico en adiestramiento",236
1,"Aguascalientes",2018,20,"Médicos en otras actividades",86
1,"Aguascalientes",2018,21,"Personal de enfermería en contacto c/paciente",2037
1,"Aguascalientes",2018,22,"Personal de enfermería en otras labores",76
1,"Aguascalientes",2018,23,"Otro personal profesional",285
1,"Aguascalientes",2018,24,"Personal técnico",406
1,"Aguascalientes",2018,25,"Otro personal",1380
1,"Aguascalientes",2019,13,"Consultorios",507
1,"Aguascalientes",2019,14,"Camas en área de hospitalización (Censables)",402
1,"Aguascalientes",2019,15,"Camas fuera del área de hospitalización (No censables)",256
1,"Aguascalientes",2019,16,"Camas recién nacidos",97
1,"Aguascalientes",2019,17,"Equipamiento",168
1,"Aguascalientes",2019,18,"Médicos generales, especialistas y odontólogos",965
1,"Aguascalientes",2019,19,"Personal médico en adiestramiento",334
1,"Aguascalientes",2019,20,"Médicos en otras actividades",95
1,"Aguascalientes",2019,21,"Personal de enfermería en contacto c/paciente",2342
1,"Aguascalientes",2019,22,"Personal de enfermería en otras labores",79
1,"Aguascalientes",2019,23,"Otro personal profesional",350
1,"Aguascalientes",2019,24,"Personal técnico",384
1,"Aguascalientes",2019,25,"Otro personal",1525
1,"Aguascalientes",2020,13,"Consultorios",511
1,"Aguascalientes",2020,14,"Camas en área de hospitalización (Censables)",411
1,"Aguascalientes",2020,15,"Camas fuera del área de hospitalización (No censables)",238
1,"Aguascalientes",2020,16,"Camas recién nacidos",90
1,"Aguascalientes",2020,17,"Equipamiento",173
1,"Aguascalientes",2020,18,"Médicos generales, especialistas y odontólogos",1075
1,"Aguascalientes",2020,19,"Personal médico en adiestramiento",360
1,"Aguascalientes",2020,20,"Médicos en otras actividades",95
1,"Aguascalientes",2020,21,"Personal de enfermería en contacto c/paciente",2514
1,"Aguascalientes",2020,22,"Personal de enfermería en otras labores",65
1,"Aguascalientes",2020,23,"Otro personal profesional",412
1,"Aguascalientes",2020,24,"Personal técnico",401
1,"Aguascalientes",2020,25,"Otro personal",1539
1,"Aguascalientes",2021,13,"Consultorios",538
1,"Aguascalientes",2021,14,"Camas en área de hospitalización (Censables)",409
1,"Aguascalientes",2021,15,"Camas fuera del área de hospitalización (No censables)",249
1,"Aguascalientes",2021,16,"Camas recién nacidos",80
1,"Aguascalientes",2021,17,"Equipamiento",157
1,"Aguascalientes",2021,18,"Médicos generales, especialistas y odontólogos",1046
1,"Aguascalientes",2021,19,"Personal médico en adiestramiento",385
1,"Aguascalientes",2021,20,"Médicos en otras actividades",110
1,"Aguascalientes",2021,21,"Personal de enfermería en contacto c/paciente",2522
1,"Aguascalientes",2021,22,"Personal de enfermería en otras labores",78
1,"Aguascalientes",2021,23,"Otro personal profesional",436
1,"Aguascalientes",2021,24,"Personal técnico",409
1,"Aguascalientes",2021,25,"Otro personal",1568
2,"Baja California",2001,13,"Consultorios",360
2,"Baja California",2001,14,"Camas en área de hospitalización (Censables)",364
2,"Baja California",2001,15,"Camas fuera del área de hospitalización (No censables)",192
2,"Baja California",2001,16,"Camas recién nacidos",69
2,"Baja California",2001,17,"Equipamiento",71
2,"Baja California",2001,18,"Médicos generales, especialistas y odontólogos",735
2,"Baja California",2001,19,"Personal médico en adiestramiento",265
2,"Baja California",2001,20,"Médicos en otras actividades",69
2,"Baja California",2001,21,"Personal de enfermería en contacto c/paciente",1219
2,"Baja California",2001,22,"Personal de enfermería en otras labores",75
2,"Baja California",2001,23,"Otro personal profesional",69
2,"Baja California",2001,24,"Personal técnico",248
2,"Baja California",2001,25,"Otro personal",787
2,"Baja California",2002,13,"Consultorios",369
2,"Baja California",2002,14,"Camas en área de hospitalización (Censables)",362
2,"Baja California",2002,15,"Camas fuera del área de hospitalización (No censables)",192
2,"Baja California",2002,16,"Camas recién nacidos",78
2,"Baja California",2002,17,"Equipamiento",68
2,"Baja California",2002,18,"Médicos generales, especialistas y odontólogos",753
2,"Baja California",2002,19,"Personal médico en adiestramiento",275
2,"Baja California",2002,20,"Médicos en otras actividades",72
2,"Baja California",2002,21,"Personal de enfermería en contacto c/paciente",1111
2,"Baja California",2002,22,"Personal de enfermería en otras labores",155
2,"Baja California",2002,23,"Otro personal profesional",79
2,"Baja California",2002,24,"Personal técnico",227
2,"Baja California",2002,25,"Otro personal",599
2,"Baja California",2003,13,"Consultorios",380
2,"Baja California",2003,14,"Camas en área de hospitalización (Censables)",362
2,"Baja California",2003,15,"Camas fuera del área de hospitalización (No censables)",238
2,"Baja California",2003,16,"Camas recién nacidos",69
2,"Baja California",2003,17,"Equipamiento",68
2,"Baja California",2003,18,"Médicos generales, especialistas y odontólogos",502
2,"Baja California",2003,19,"Personal médico en adiestramiento",276
2,"Baja California",2003,20,"Médicos en otras actividades",73
2,"Baja California",2003,21,"Personal de enfermería en contacto c/paciente",1105
2,"Baja California",2003,22,"Personal de enfermería en otras labores",154
2,"Baja California",2003,23,"Otro personal profesional",79
2,"Baja California",2003,24,"Personal técnico",226
2,"Baja California",2003,25,"Otro personal",605
2,"Baja California",2004,13,"Consultorios",406
2,"Baja California",2004,14,"Camas en área de hospitalización (Censables)",378
2,"Baja California",2004,15,"Camas fuera del área de hospitalización (No censables)",272
2,"Baja California",2004,16,"Camas recién nacidos",75
2,"Baja California",2004,17,"Equipamiento",68
2,"Baja California",2004,18,"Médicos generales, especialistas y odontólogos",539
2,"Baja California",2004,19,"Personal médico en adiestramiento",279
2,"Baja California",2004,20,"Médicos en otras actividades",80
2,"Baja California",2004,21,"Personal de enfermería en contacto c/paciente",1176
2,"Baja California",2004,22,"Personal de enfermería en otras labores",170
2,"Baja California",2004,23,"Otro personal profesional",76
2,"Baja California",2004,24,"Personal técnico",238
2,"Baja California",2004,25,"Otro personal",700
2,"Baja California",2005,13,"Consultorios",404
2,"Baja California",2005,14,"Camas en área de hospitalización (Censables)",378
2,"Baja California",2005,15,"Camas fuera del área de hospitalización (No censables)",258
2,"Baja California",2005,16,"Camas recién nacidos",71
2,"Baja California",2005,17,"Equipamiento",68
2,"Baja California",2005,18,"Médicos generales, especialistas y odontólogos",539
2,"Baja California",2005,19,"Personal médico en adiestramiento",279
2,"Baja California",2005,20,"Médicos en otras actividades",80
2,"Baja California",2005,21,"Personal de enfermería en contacto c/paciente",1176
2,"Baja California",2005,22,"Personal de enfermería en otras labores",170
2,"Baja California",2005,23,"Otro personal profesional",76
2,"Baja California",2005,24,"Personal técnico",238
2,"Baja California",2005,25,"Otro personal",700
2,"Baja California",2006,13,"Consultorios",407
2,"Baja California",2006,14,"Camas en área de hospitalización (Censables)",408
2,"Baja California",2006,15,"Camas fuera del área de hospitalización (No censables)",240
2,"Baja California",2006,16,"Camas recién nacidos",77
2,"Baja California",2006,17,"Equipamiento",68
2,"Baja California",2006,18,"Médicos generales, especialistas y odontólogos",567
2,"Baja California",2006,19,"Personal médico en adiestramiento",280
2,"Baja California",2006,20,"Médicos en otras actividades",83
2,"Baja California",2006,21,"Personal de enfermería en contacto c/paciente",1259
2,"Baja California",2006,22,"Personal de enfermería en otras labores",177
2,"Baja California",2006,23,"Otro personal profesional",81
2,"Baja California",2006,24,"Personal técnico",255
2,"Baja California",2006,25,"Otro personal",752
2,"Baja California",2007,13,"Consultorios",408
2,"Baja California",2007,14,"Camas en área de hospitalización (Censables)",481
2,"Baja California",2007,15,"Camas fuera del área de hospitalización (No censables)",279
2,"Baja California",2007,16,"Camas recién nacidos",102
2,"Baja California",2007,17,"Equipamiento",69
2,"Baja California",2007,18,"Médicos generales, especialistas y odontólogos",628
2,"Baja California",2007,19,"Personal médico en adiestramiento",303
2,"Baja California",2007,20,"Médicos en otras actividades",100
2,"Baja California",2007,21,"Personal de enfermería en contacto c/paciente",1459
2,"Baja California",2007,22,"Personal de enfermería en otras labores",123
2,"Baja California",2007,23,"Otro personal profesional",95
2,"Baja California",2007,24,"Personal técnico",331
2,"Baja California",2007,25,"Otro personal",849
2,"Baja California",2008,13,"Consultorios",411
2,"Baja California",2008,14,"Camas en área de hospitalización (Censables)",484
2,"Baja California",2008,15,"Camas fuera del área de hospitalización (No censables)",271
2,"Baja California",2008,16,"Camas recién nacidos",79
2,"Baja California",2008,17,"Equipamiento",72
2,"Baja California",2008,18,"Médicos generales, especialistas y odontólogos",681
2,"Baja California",2008,19,"Personal médico en adiestramiento",319
2,"Baja California",2008,20,"Médicos en otras actividades",107
2,"Baja California",2008,21,"Personal de enfermería en contacto c/paciente",1574
2,"Baja California",2008,22,"Personal de enfermería en otras labores",125
2,"Baja California",2008,23,"Otro personal profesional",101
2,"Baja California",2008,24,"Personal técnico",321
2,"Baja California",2008,25,"Otro personal",887
2,"Baja California",2009,13,"Consultorios",508
2,"Baja California",2009,14,"Camas en área de hospitalización (Censables)",492
2,"Baja California",2009,15,"Camas fuera del área de hospitalización (No censables)",282
2,"Baja California",2009,16,"Camas recién nacidos",84
2,"Baja California",2009,17,"Equipamiento",80
2,"Baja California",2009,18,"Médicos generales, especialistas y odontólogos",819
2,"Baja California",2009,19,"Personal médico en adiestramiento",465
2,"Baja California",2009,20,"Médicos en otras actividades",104
2,"Baja California",2009,21,"Personal de enfermería en contacto c/paciente",1879
2,"Baja California",2009,22,"Personal de enfermería en otras labores",102
2,"Baja California",2009,23,"Otro personal profesional",115
2,"Baja California",2009,24,"Personal técnico",343
2,"Baja California",2009,25,"Otro personal",1176
2,"Baja California",2010,13,"Consultorios",499
2,"Baja California",2010,14,"Camas en área de hospitalización (Censables)",492
2,"Baja California",2010,15,"Camas fuera del área de hospitalización (No censables)",280
2,"Baja California",2010,16,"Camas recién nacidos",84
2,"Baja California",2010,17,"Equipamiento",87
2,"Baja California",2010,18,"Médicos generales, especialistas y odontólogos",819
2,"Baja California",2010,19,"Personal médico en adiestramiento",365
2,"Baja California",2010,20,"Médicos en otras actividades",107
2,"Baja California",2010,21,"Personal de enfermería en contacto c/paciente",1911
2,"Baja California",2010,22,"Personal de enfermería en otras labores",109
2,"Baja California",2010,23,"Otro personal profesional",121
2,"Baja California",2010,24,"Personal técnico",346
2,"Baja California",2010,25,"Otro personal",1141
2,"Baja California",2011,13,"Consultorios",523
2,"Baja California",2011,14,"Camas en área de hospitalización (Censables)",539
2,"Baja California",2011,15,"Camas fuera del área de hospitalización (No censables)",263
2,"Baja California",2011,16,"Camas recién nacidos",137
2,"Baja California",2011,17,"Equipamiento",107
2,"Baja California",2011,18,"Médicos generales, especialistas y odontólogos",928
2,"Baja California",2011,19,"Personal médico en adiestramiento",389
2,"Baja California",2011,20,"Médicos en otras actividades",100
2,"Baja California",2011,21,"Personal de enfermería en contacto c/paciente",2241
2,"Baja California",2011,22,"Personal de enfermería en otras labores",129
2,"Baja California",2011,23,"Otro personal profesional",146
2,"Baja California",2011,24,"Personal técnico",377
2,"Baja California",2011,25,"Otro personal",1310
2,"Baja California",2012,13,"Consultorios",612
2,"Baja California",2012,14,"Camas en área de hospitalización (Censables)",598
2,"Baja California",2012,15,"Camas fuera del área de hospitalización (No censables)",371
2,"Baja California",2012,16,"Camas recién nacidos",247
2,"Baja California",2012,17,"Equipamiento",140
2,"Baja California",2012,18,"Médicos generales, especialistas y odontólogos",1039
2,"Baja California",2012,19,"Personal médico en adiestramiento",474
2,"Baja California",2012,20,"Médicos en otras actividades",106
2,"Baja California",2012,21,"Personal de enfermería en contacto c/paciente",2395
2,"Baja California",2012,22,"Personal de enfermería en otras labores",149
2,"Baja California",2012,23,"Otro personal profesional",206
2,"Baja California",2012,24,"Personal técnico",376
2,"Baja California",2012,25,"Otro personal",1315
2,"Baja California",2013,13,"Consultorios",622
2,"Baja California",2013,14,"Camas en área de hospitalización (Censables)",592
2,"Baja California",2013,15,"Camas fuera del área de hospitalización (No censables)",352
2,"Baja California",2013,16,"Camas recién nacidos",188
2,"Baja California",2013,17,"Equipamiento",136
2,"Baja California",2013,18,"Médicos generales, especialistas y odontólogos",1037
2,"Baja California",2013,19,"Personal médico en adiestramiento",498
2,"Baja California",2013,20,"Médicos en otras actividades",107
2,"Baja California",2013,21,"Personal de enfermería en contacto c/paciente",2378
2,"Baja California",2013,22,"Personal de enfermería en otras labores",154
2,"Baja California",2013,23,"Otro personal profesional",206
2,"Baja California",2013,24,"Personal técnico",372
2,"Baja California",2013,25,"Otro personal",1346
2,"Baja California",2014,13,"Consultorios",687
2,"Baja California",2014,14,"Camas en área de hospitalización (Censables)",632
2,"Baja California",2014,15,"Camas fuera del área de hospitalización (No censables)",522
2,"Baja California",2014,16,"Camas recién nacidos",202
2,"Baja California",2014,17,"Equipamiento",150
2,"Baja California",2014,18,"Médicos generales, especialistas y odontólogos",1080
2,"Baja California",2014,19,"Personal médico en adiestramiento",552
2,"Baja California",2014,20,"Médicos en otras actividades",126
2,"Baja California",2014,21,"Personal de enfermería en contacto c/paciente",2590
2,"Baja California",2014,22,"Personal de enfermería en otras labores",160
2,"Baja California",2014,23,"Otro personal profesional",188
2,"Baja California",2014,24,"Personal técnico",451
2,"Baja California",2014,25,"Otro personal",1581
2,"Baja California",2015,13,"Consultorios",626
2,"Baja California",2015,14,"Camas en área de hospitalización (Censables)",606
2,"Baja California",2015,15,"Camas fuera del área de hospitalización (No censables)",447
2,"Baja California",2015,16,"Camas recién nacidos",166
2,"Baja California",2015,17,"Equipamiento",133
2,"Baja California",2015,18,"Médicos generales, especialistas y odontólogos",1087
2,"Baja California",2015,19,"Personal médico en adiestramiento",594
2,"Baja California",2015,20,"Médicos en otras actividades",118
2,"Baja California",2015,21,"Personal de enfermería en contacto c/paciente",2607
2,"Baja California",2015,22,"Personal de enfermería en otras labores",157
2,"Baja California",2015,23,"Otro personal profesional",205
